date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:15:54	102021/102021	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2003%20May%202025%2009:17:58%20GMT	https://6wripy-n1.myshopify.com/cdn/s/trekkie.storefront.7dd5a1f776e0762aa90f8d934b8ac8a05d3d42a2.min.js	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/cdn/s/trekkie.storefront.7dd5a1f776e0762aa90f8d934b8ac8a05d3d42a2.min.js	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:15:54	10231/10231	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2017%20Apr%202025%2022:04:32%20GMT	https://6wripy-n1.myshopify.com/cdn/shopifycloud/shopify/assets/shop_events_listener-f55dd2979ec32029c7d9e0b454ab8b33f79c01ca039d17a6f5c9b95647564b19.js	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/cdn/shopifycloud/shopify/assets/shop_events_listener-f55dd2979ec32029c7d9e0b454ab8b33f79c01ca039d17a6f5c9b95647564b19.js	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:15:54	33912/33912	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2019%20Apr%202025%2010:01:05%20GMT	https://6wripy-n1.myshopify.com/cdn/shopifycloud/perf-kit/shopify-perf-kit-1.6.1.min.js	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/cdn/shopifycloud/perf-kit/shopify-perf-kit-1.6.1.min.js	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:15:55	42863/42863	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a76f-O0GzvJVmhQFaNHoiOOcdsp36Dbs%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:15:56	3840836/3840836	---MC-	200	added ('OK')	application/atom+xml	etag:W/%22cacheable:9eb28a12f3a5110c2f3a34c1952c1962%22	https://6wripy-n1.myshopify.com/collections/notebook.atom	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/collections/notebook.atom	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:16:03	4013/4013	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2004%20May%202025%2005:16:03%20GMT	https://6wripy-n1.myshopify.com/checkouts/internal/preloads.js?locale=pt-BR	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/checkouts/internal/preloads4c33.js	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:16:03	9652/9652	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2004%20Feb%202025%2015:51:48%20GMT	https://cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:16:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20May%202025%2005:16:03%20GMT	http://6wripy-n1.myshopify.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-c354cc1bc6f1fafc3e06e39f4fb0e1d9abdf763072ca394d606ca9f6f241e68a.js	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-c354cc1bc6f1fafc3e06e39f4fb0e1d9abdf763072ca394d606ca9f6f241e68a.15.delayed	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:16:05	12962/12962	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2020%20Apr%202025%2011:18:30%20GMT	https://6wripy-n1.myshopify.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-c354cc1bc6f1fafc3e06e39f4fb0e1d9abdf763072ca394d606ca9f6f241e68a.js	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-c354cc1bc6f1fafc3e06e39f4fb0e1d9abdf763072ca394d606ca9f6f241e68a.js	(from https://6wripy-n1.myshopify.com/collections/notebook)
02:16:05	4577556/4577556	---MC-	200	added ('OK')	application/json+oembed	etag:W/%22cacheable:e3cfac3f2f5cdcd01e7798e3797233d1%22	https://6wripy-n1.myshopify.com/collections/notebook.oembed	C:/Users/User/Downloads/TELANOVAPRODUTOS/TELANOVAPRODUTOS/6wripy-n1.myshopify.com/collections/notebook.oembed	(from https://6wripy-n1.myshopify.com/collections/notebook)
